"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.4926,134217728,0,0,0
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.231,134217728,0,0,0
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.1645,134217728,0,0,0
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.3906,134217728,0,0,0
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.3645,134217728,0,0,0
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.2142,134217728,0,0,1
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.3049,134217728,0,0,1
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.303,134217728,0,0,1
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.1793,134217728,0,0,1
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.2672,134217728,0,0,1
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.2334,134217728,0,0,2
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.2432,134217728,0,0,2
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.287,134217728,0,0,2
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.1827,134217728,0,0,2
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.3883,134217728,0,0,2
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.3695,134217728,0,0,3
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.3606,134217728,0,0,3
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.3129,134217728,0,0,3
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.2621,134217728,0,0,3
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.2132,134217728,0,0,3
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.0742,134217728,0,0,4
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.1377,134217728,0,0,4
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.173,134217728,0,0,4
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.1251,134217728,0,0,4
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.1264,134217728,0,0,4
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.1543,134217728,0,0,5
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.3151,134217728,0,0,5
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.221,134217728,0,0,5
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.3,134217728,0,0,5
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.2875,134217728,0,0,5
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.1012,134217728,0,0,6
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.1087,134217728,0,0,6
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.2258,134217728,0,0,6
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.1084,134217728,0,0,6
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.1334,134217728,0,0,6
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.1852,134217728,0,0,7
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.3663,134217728,0,0,7
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.1801,134217728,0,0,7
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.3951,134217728,0,0,7
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.2326,134217728,0,0,7
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.1301,134217728,0,0,8
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.4867,134217728,0,0,8
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.1727,134217728,0,0,8
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.2236,134217728,0,0,8
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.2031,134217728,0,0,8
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.1261,134217728,0,0,9
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.1339,134217728,0,0,9
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.2244,134217728,0,0,9
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.165,134217728,0,0,9
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.1615,134217728,0,0,9
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.1645,134217728,0,0,10
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.2411,134217728,0,0,10
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.1566,134217728,0,0,10
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.3747,134217728,0,0,10
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.1583,134217728,0,0,10
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.1498,134217728,0,0,11
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.5564,134217728,0,0,11
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0,0,0,0,0,0,0,0,51.1904,134217728,0,0,11
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0,0,0,0,0,0,0,0,51.3486,134217728,0,0,11
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,5,"Success",0,0,0,0,0,0,0,0,0,51.1845,134217728,0,0,11
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0,0,0,0,0,0,0,0,51.2411,134217728,0,0,12
"cuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0,0,0,0,0,0,0,0,51.2906,134217728,0,0,12
