; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 562, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 65.9818
; "Time_ContextDestroy [ms]", 186.605
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,0,"Success",0,0.407112,0.902144,8.8e-05,30.1469,6.11792,6.08352,18.5729,0.425701,62.7652,1.34218e+08,1.34218e+08,1.34218e+08,0
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0.4118,1.23915,0.000155,30.3078,6.10851,6.08019,18.8529,0.561631,63.6692,1.34218e+08,1.34218e+08,1.34218e+08,0
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0.398928,0.995662,9.5e-05,31.1962,6.13011,6.06227,18.4554,0.483831,63.8314,1.34218e+08,1.34218e+08,1.34218e+08,0
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0.418323,0.995819,0.000108,30.5872,6.12982,6.08941,18.6116,0.570501,63.5486,1.34218e+08,1.34218e+08,1.34218e+08,0
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0.405764,1.11282,0.000101,31.0599,6.12422,6.08179,18.5326,0.43587,63.8582,1.34218e+08,1.34218e+08,1.34218e+08,0
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,0,"Success",0,0.407544,0.912986,9.8e-05,30.9886,6.12739,6.07536,18.5868,0.427,63.6426,1.34218e+08,1.34218e+08,1.34218e+08,1
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0.494955,1.12076,0.000101,30.867,6.14669,6.07994,18.4996,0.590482,63.9113,1.34218e+08,1.34218e+08,1.34218e+08,1
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0.399829,0.92382,0.000101,35.0438,6.13302,6.1048,18.6863,0.439273,67.8714,1.34218e+08,1.34218e+08,1.34218e+08,1
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0.402564,0.899257,9.1e-05,31.7105,6.1255,6.08554,18.6644,0.427466,64.4271,1.34218e+08,1.34218e+08,1.34218e+08,1
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0.407796,0.976994,8.9e-05,30.8171,6.11597,6.09344,18.694,0.569388,63.7949,1.34218e+08,1.34218e+08,1.34218e+08,1
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,0,"Success",0,0.478165,1.05785,0.000105,30.7683,6.12922,6.07642,18.4356,0.431031,63.4854,1.34218e+08,1.34218e+08,1.34218e+08,2
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0.405247,1.1346,8.7e-05,29.9949,6.12592,6.07805,18.4457,0.433557,62.7282,1.34218e+08,1.34218e+08,1.34218e+08,2
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0.406661,0.90219,9.5e-05,30.2225,6.13254,6.08234,18.4757,0.480967,62.8102,1.34218e+08,1.34218e+08,1.34218e+08,2
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0.401809,0.903161,0.000105,30.0219,6.11971,6.07744,18.5696,0.449966,62.651,1.34218e+08,1.34218e+08,1.34218e+08,2
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0.415875,0.903527,9.4e-05,30.3449,6.12208,6.07792,18.4501,0.431488,62.8531,1.34218e+08,1.34218e+08,1.34218e+08,2
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,0,"Success",0,0.42791,0.92311,9.8e-05,29.3901,6.14525,6.06397,18.592,0.426322,62.0745,1.34218e+08,1.34218e+08,1.34218e+08,3
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0.419295,0.903518,9.1e-05,30.0423,6.1105,6.09386,18.4667,0.431369,62.57,1.34218e+08,1.34218e+08,1.34218e+08,3
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0.416295,0.914359,9.6e-05,29.9669,6.12352,6.07978,18.4434,0.437535,62.4849,1.34218e+08,1.34218e+08,1.34218e+08,3
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0.416588,0.9004,9.8e-05,29.8426,6.12659,6.07507,18.533,0.425117,62.4208,1.34218e+08,1.34218e+08,1.34218e+08,3
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0.4185,0.901425,9.4e-05,30.0806,6.11389,6.0873,18.5313,0.42493,62.6594,1.34218e+08,1.34218e+08,1.34218e+08,3
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,0,"Success",0,0.417217,0.903122,9e-05,29.8763,6.14134,6.07347,18.4471,0.429798,62.3948,1.34218e+08,1.34218e+08,1.34218e+08,4
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0.40258,0.902866,8.8e-05,29.7596,6.11664,6.09958,18.4726,0.427591,62.2854,1.34218e+08,1.34218e+08,1.34218e+08,4
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0.604349,1.4345,9.1e-05,29.9924,6.13808,6.08947,18.5401,0.427767,63.3327,1.34218e+08,1.34218e+08,1.34218e+08,4
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0.398281,0.932564,8.8e-05,29.8415,6.12752,6.08125,18.4288,0.472199,62.3866,1.34218e+08,1.34218e+08,1.34218e+08,4
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0.420279,0.901042,9.2e-05,29.9087,6.11997,6.08477,18.443,0.430492,62.4118,1.34218e+08,1.34218e+08,1.34218e+08,4
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,0,"Success",0,0.410711,0.919604,8.6e-05,30.012,6.12691,6.08829,18.4347,0.428066,62.5236,1.34218e+08,1.34218e+08,1.34218e+08,5
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,1,"Success",0,0.419347,0.914281,9.3e-05,29.9522,6.13126,6.0833,18.7333,0.427069,62.7669,1.34218e+08,1.34218e+08,1.34218e+08,5
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,2,"Success",0,0.421025,0.903543,8.8e-05,29.9513,6.12269,6.08352,18.4378,0.437457,62.4607,1.34218e+08,1.34218e+08,1.34218e+08,5
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,3,"Success",0,0.408215,1.44592,0.000175,29.9388,6.1241,6.07258,18.5323,0.429057,63.0543,1.34218e+08,1.34218e+08,1.34218e+08,5
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,4,"Success",0,0.413836,0.902168,0.000101,30.1399,6.1191,6.07501,18.4388,0.585008,62.7797,1.34218e+08,1.34218e+08,1.34218e+08,5
"CuFFT","Inplace","Complex","float",1,"powerof2",16777216,0,0,0,"Success",0,0.401036,0.903933,9.4e-05,29.9732,6.13619,6.07798,18.4343,0.431968,62.4617,1.34218e+08,1.34218e+08,1.34218e+08,6
