; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 562, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 61.4703
; "Time_ContextDestroy [ms]", 179.35
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,0,"Success",0,0.214986,0.596979,8.4e-05,0.013152,0.034048,0.02576,0.02208,0.164608,1.14446,8192,8192,8192,0
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,1,"Success",0,0.218923,0.597817,8.1e-05,0.014176,0.033056,0.025888,0.021088,0.182571,1.16346,8192,8192,8192,0
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,2,"Success",0,0.216087,0.578031,9.2e-05,0.014272,0.034144,0.025216,0.0216,0.166399,1.1253,8192,8192,8192,0
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,3,"Success",0,0.211541,0.57071,8.6e-05,0.014464,0.033088,0.025664,0.02128,0.164087,1.11009,8192,8192,8192,0
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,4,"Success",0,0.401121,0.735329,9e-05,0.014048,0.033824,0.025152,0.02176,0.292099,1.59327,8192,8192,8192,0
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,0,"Success",0,0.210771,0.565989,8.5e-05,0.01424,0.033664,0.026912,0.021664,0.164266,1.11053,8192,8192,8192,1
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,1,"Success",0,0.208926,0.57131,9e-05,0.014272,0.03296,0.024576,0.021312,0.163246,1.1056,8192,8192,8192,1
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,2,"Success",0,0.208768,0.613285,8.7e-05,0.01456,0.033568,0.025216,0.021568,0.170408,1.15723,8192,8192,8192,1
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,3,"Success",0,0.235264,0.597532,8.8e-05,0.01424,0.033696,0.025184,0.021504,0.196362,1.19448,8192,8192,8192,1
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,4,"Success",0,0.211063,0.770316,9.6e-05,0.014304,0.033824,0.024672,0.021536,0.168917,1.32823,8192,8192,8192,1
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,0,"Success",0,0.365685,0.903445,9.4e-05,0.014528,0.03632,0.024672,0.021952,0.251093,1.69058,8192,8192,8192,2
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,1,"Success",0,0.211609,0.570351,9.2e-05,0.0144,0.033632,0.025088,0.021408,0.164665,1.11087,8192,8192,8192,2
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,2,"Success",0,0.213094,0.633798,9.1e-05,0.01456,0.033472,0.024864,0.024128,0.364865,1.41183,8192,8192,8192,2
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,3,"Success",0,0.218549,0.568515,9.1e-05,0.014368,0.034688,0.024992,0.0216,0.165467,1.11845,8192,8192,8192,2
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,4,"Success",0,0.209895,0.575901,8.8e-05,0.014112,0.033536,0.025408,0.02144,0.167267,1.11722,8192,8192,8192,2
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,0,"Success",0,0.265497,0.715365,8.7e-05,0.014496,0.034624,0.026112,0.022144,0.248324,1.42814,8192,8192,8192,3
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,1,"Success",0,0.302498,0.735596,0.000102,0.01488,0.037984,0.025632,0.023104,0.212464,1.50699,8192,8192,8192,3
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,2,"Success",0,0.2297,0.728834,0.00016,0.014368,0.034688,0.025344,0.051968,0.204576,1.36059,8192,8192,8192,3
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,3,"Success",0,0.213229,0.597869,8.6e-05,0.014208,0.0336,0.024992,0.024064,0.166997,1.1452,8192,8192,8192,3
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,4,"Success",0,0.211065,0.568584,8.8e-05,0.014624,0.033728,0.025216,0.021504,0.164445,1.10889,8192,8192,8192,3
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,0,"Success",0,0.213061,0.569691,8.6e-05,0.014336,0.033952,0.024768,0.02176,0.164991,1.11292,8192,8192,8192,4
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,1,"Success",0,0.211452,0.572274,0.000141,0.014464,0.033536,0.024672,0.021216,0.163873,1.11133,8192,8192,8192,4
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,2,"Success",0,0.250231,1.0253,9.7e-05,0.0144,0.036576,0.02608,0.022144,0.288025,1.73506,8192,8192,8192,4
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,3,"Success",0,0.294692,0.614234,8.6e-05,0.0144,0.033632,0.025856,0.021504,0.169598,1.24429,8192,8192,8192,4
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,4,"Success",0,0.209461,0.569696,8.8e-05,0.014112,0.033344,0.024768,0.021536,0.163298,1.10546,8192,8192,8192,4
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,0,"Success",0,0.237169,0.571947,8.8e-05,0.0144,0.034272,0.024928,0.021728,0.166382,1.14058,8192,8192,8192,5
"CuFFT","Inplace","Complex","float",1,"powerof2",1024,0,0,1,"Success",0,0.221032,0.64861,9.2e-05,0.0144,0.033984,0.02864,0.025664,0.208712,1.29238,8192,8192,8192,5
