; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 58.1355
; "Time_ContextDestroy [ms]", 153.51
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.378402,0.943256,1.3276,7.26883,4.10851,4.06035,6.19539,0.382823,24.7739,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.38452,0.942871,1.32795,7.2512,4.11664,4.07802,6.19795,0.381775,24.7914,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.383384,0.944485,1.3236,7.29642,4.1128,4.07293,6.20256,0.382826,24.8257,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.386352,0.943721,1.35083,7.28317,4.10349,4.07795,6.43853,0.377406,25.0682,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.382771,0.940429,1.32552,7.2913,4.11565,4.07254,6.19779,0.382374,24.8204,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.387171,0.952583,1.33953,7.23818,4.09699,4.06691,6.19792,0.380377,24.7656,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.387829,0.945384,1.33526,7.27456,4.11168,4.07082,6.1999,0.380922,24.8184,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.38454,0.94189,1.36406,7.28326,4.10669,4.07037,6.20976,0.376607,24.8423,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.385515,0.960741,1.3278,7.25773,4.11482,4.06864,6.1991,0.385044,24.8102,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.619865,0.946226,1.32655,7.39603,4.10848,4.06678,6.20637,0.38577,25.1677,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.384206,0.941285,1.33496,7.31562,4.10464,4.08522,6.19376,0.381948,24.8556,6.71089e+07,6.71089e+07,6.71089e+07,2
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.37984,0.941821,1.35964,7.29152,4.11136,4.07158,6.19216,0.38514,24.9517,6.71089e+07,6.71089e+07,6.71089e+07,2
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.384629,0.944423,1.33136,7.27123,4.1088,4.068,6.19571,0.381472,24.7952,6.71089e+07,6.71089e+07,6.71089e+07,2
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.391683,0.949375,1.30819,7.27411,4.11046,4.07213,6.19683,0.384474,24.7979,6.71089e+07,6.71089e+07,6.71089e+07,2
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.380154,0.944833,1.32053,7.30605,4.1048,4.06864,6.19894,0.382751,24.8144,6.71089e+07,6.71089e+07,6.71089e+07,2
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.382589,0.944106,1.35968,7.27824,4.096,4.07315,6.19942,0.38256,24.8229,6.71089e+07,6.71089e+07,6.71089e+07,3
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.386537,0.942973,1.32769,7.27373,4.10768,4.06394,6.20541,0.384121,24.8002,6.71089e+07,6.71089e+07,6.71089e+07,3
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.36841,0.958599,1.31053,7.30262,4.10374,4.07827,6.2897,0.384896,24.901,6.71089e+07,6.71089e+07,6.71089e+07,3
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.370756,0.958482,1.31529,7.31613,4.11082,4.08349,6.29107,0.381187,24.9328,6.71089e+07,6.71089e+07,6.71089e+07,3
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.373202,0.959058,1.31231,7.31229,4.10736,4.0769,6.29062,0.38334,24.9193,6.71089e+07,6.71089e+07,6.71089e+07,3
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.370114,0.959559,1.3155,7.33453,4.10096,4.08006,6.29395,0.387344,24.9476,6.71089e+07,6.71089e+07,6.71089e+07,4
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.372468,0.962494,1.31557,7.32214,4.11056,4.07238,6.30323,0.386419,24.9497,6.71089e+07,6.71089e+07,6.71089e+07,4
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.376421,0.965035,1.31272,7.30941,4.11008,4.08186,6.22387,0.372395,24.8533,6.71089e+07,6.71089e+07,6.71089e+07,4
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.367554,0.936754,1.2919,7.22912,4.10496,4.07789,6.22541,0.376759,24.7135,6.71089e+07,6.71089e+07,6.71089e+07,4
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.365262,0.939324,1.29098,7.20195,4.11405,4.07232,6.18918,0.376783,24.651,6.71089e+07,6.71089e+07,6.71089e+07,4
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.368524,0.940337,1.28863,7.18515,4.1057,4.0679,6.19965,0.377103,24.6326,6.71089e+07,6.71089e+07,6.71089e+07,5
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.363407,0.941771,1.29329,7.21418,4.09869,4.07194,6.19133,0.380072,24.6575,6.71089e+07,6.71089e+07,6.71089e+07,5
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.367241,0.940967,1.29616,7.1984,4.10368,4.0817,6.18918,0.374064,24.6533,6.71089e+07,6.71089e+07,6.71089e+07,5
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.36371,0.939491,1.26986,7.18998,4.11651,4.064,6.18851,0.377538,24.6117,6.71089e+07,6.71089e+07,6.71089e+07,5
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.368137,0.94134,1.28911,7.22502,4.11114,4.07862,6.19878,0.374162,24.6893,6.71089e+07,6.71089e+07,6.71089e+07,5
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.365579,0.93687,1.28889,7.18819,4.11091,4.0815,6.1967,0.374971,24.6508,6.71089e+07,6.71089e+07,6.71089e+07,6
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.387024,0.945857,1.33296,7.29552,4.10979,4.07923,6.20896,0.379808,24.8497,6.71089e+07,6.71089e+07,6.71089e+07,6
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.384056,0.944734,1.33127,7.30998,4.10042,4.0681,6.19629,0.382892,24.8271,6.71089e+07,6.71089e+07,6.71089e+07,6
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.383543,0.945978,1.32434,7.30106,4.10768,4.0679,6.19626,0.38235,24.8175,6.71089e+07,6.71089e+07,6.71089e+07,6
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.385802,0.944654,1.33293,7.29194,4.11107,4.07187,6.19866,0.383921,24.8308,6.71089e+07,6.71089e+07,6.71089e+07,6
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.404992,0.941809,1.3241,7.25629,4.10528,4.06883,6.20512,0.381926,24.7988,6.71089e+07,6.71089e+07,6.71089e+07,7
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.381249,0.941935,1.30308,7.84122,4.09808,4.08061,6.18896,0.385143,25.3283,6.71089e+07,6.71089e+07,6.71089e+07,7
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.384584,0.945463,1.32731,7.28694,4.10678,4.07286,6.19571,0.383727,24.8128,6.71089e+07,6.71089e+07,6.71089e+07,7
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.38892,0.951574,1.33351,7.26771,4.10531,4.07107,6.23136,0.385254,24.8443,6.71089e+07,6.71089e+07,6.71089e+07,7
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.383758,1.15353,1.33177,7.26307,4.10115,4.07446,6.2015,0.381176,24.9952,6.71089e+07,6.71089e+07,6.71089e+07,7
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.38313,0.949608,1.32965,7.27142,4.10813,4.07658,6.19549,0.383271,24.8073,6.71089e+07,6.71089e+07,6.71089e+07,8
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.381919,0.942183,1.3335,7.29427,4.11104,4.07216,6.19894,0.38641,24.834,6.71089e+07,6.71089e+07,6.71089e+07,8
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.385593,0.943989,1.3257,7.30387,4.10259,4.07565,6.2223,0.388841,24.8543,6.71089e+07,6.71089e+07,6.71089e+07,8
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.383586,0.944354,1.33789,7.29718,4.10518,4.076,6.20243,0.389413,24.8419,6.71089e+07,6.71089e+07,6.71089e+07,8
