; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 61.6214
; "Time_ContextDestroy [ms]", 153.389
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.226568,0.862282,1.04174,0.011872,0.034464,0.036544,0.020288,0.329782,2.6369,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.3307,0.86962,1.04211,0.01184,0.034464,0.036224,0.019904,0.335132,2.75308,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.224474,0.861349,1.04126,0.011776,0.033952,0.036288,0.019712,0.329228,2.63066,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.227198,0.863867,1.06934,0.011872,0.033952,0.035552,0.018752,0.327674,2.65983,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.330018,0.89171,1.04488,0.010976,0.035008,0.036096,0.019776,0.334032,2.85982,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.224884,0.861671,1.04337,0.01152,0.034112,0.035904,0.019808,0.328027,2.63202,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.223604,0.861518,1.04103,0.01184,0.033216,0.035392,0.019872,0.332941,2.63139,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.223865,0.861472,1.04009,0.01168,0.033536,0.035808,0.019552,0.332116,2.63032,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.242966,0.859915,1.03971,0.01184,0.034048,0.036064,0.01952,0.32863,2.64528,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.224266,0.860468,1.03859,0.011968,0.03456,0.03584,0.019296,0.327912,2.62602,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.227823,0.857818,1.04264,0.01168,0.033632,0.036128,0.019616,0.328256,2.6327,4104,4096,4096,2
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.223874,0.861585,1.03899,0.01168,0.033664,0.035776,0.01968,0.329172,2.62667,4104,4096,4096,2
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.223963,0.861032,1.04024,0.011808,0.033504,0.035872,0.01968,0.327856,2.62602,4104,4096,4096,2
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.22403,0.860733,1.03897,0.011744,0.033056,0.035616,0.01952,0.332798,2.62917,4104,4096,4096,2
