; "GeForce GTX 1080", "CC", 6.1, "Multiprocessors", 20, "Memory [MiB]", 8113, "MemoryFree [MiB]", 8000, "MemClock [MHz]", 5005, "GPUClock [MHz]", 1847, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 743.662
; "Time_ContextDestroy [ms]", 130.397
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","Time_Device [ms]","Time_Allocation [ms]","Time_PlanInit [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,"Success",0.071448,0.174675,0.215392,0.007168,0.011136,0.006144,0.011456,0.06607,0.530379,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,"Success",0.070191,0.180192,0.206313,0.007264,0.01024,0.006144,0.011264,0.065582,0.52521,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,"Success",0.070401,0.180262,0.205195,0.007168,0.01008,0.006144,0.011264,0.064883,0.523535,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,"Success",0.071099,0.173418,0.204777,0.007872,0.01024,0.005888,0.011328,0.065092,0.517248,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,"Success",0.07075,0.177887,0.226637,0.007232,0.011168,0.005984,0.011136,0.06628,0.544417,152,152,152,68
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,"Success",0.095334,0.175513,0.210294,0.00784,0.023456,0.017408,0.011744,0.06586,0.549794,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,"Success",0.104553,0.175513,0.210085,0.007264,0.023392,0.018432,0.012128,0.07955,0.572494,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,"Success",0.094845,0.174535,0.217837,0.007904,0.022528,0.018432,0.011584,0.065441,0.555452,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,"Success",0.095194,0.181379,0.209665,0.007488,0.022528,0.019008,0.011648,0.065511,0.554544,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,"Success",0.094357,0.173138,0.209875,0.007552,0.022528,0.017408,0.01136,0.065303,0.545534,2888,2888,2888,69
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,"Success",0.131163,0.175302,0.232294,0.014176,0.032608,0.027392,0.021632,0.068376,0.609928,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,"Success",0.126483,0.183475,0.211272,0.014144,0.030496,0.02544,0.021152,0.067188,0.59121,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,"Success",0.127112,0.174604,0.211481,0.014336,0.031424,0.025152,0.02064,0.065582,0.581573,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,"Success",0.12781,0.173487,0.210643,0.014208,0.03072,0.0256,0.021184,0.065302,0.580176,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,"Success",0.126763,0.173278,0.218954,0.014336,0.029696,0.025472,0.020736,0.065791,0.587579,54872,54872,54872,70
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,"Success",0.572912,0.202611,0.217348,0.15872,0.09216,0.08704,0.19808,0.070051,1.0757,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,"Success",0.571795,0.183125,0.211481,0.158176,0.092736,0.08768,0.197952,0.069283,1.03848,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,"Success",0.572842,0.183615,0.211691,0.158464,0.09216,0.08704,0.197696,0.069422,1.04036,1.04257e+06,1.04257e+06,1.04257e+06,71
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,"Success",0.576265,0.175861,0.23844,0.160864,0.09216,0.08768,0.198272,0.069213,1.06271,1.04257e+06,1.04257e+06,1.04257e+06,71
