; "Tesla K20Xm", "CC", 3.5, "PCI Bus ID", 2, "PCI Device ID", 0, "Multiprocessors", 14, "Memory [MiB]", 5699, "MemoryFree [MiB]", 5631, "ECC enabled", 1, "MemClock [MHz]", 2600, "GPUClock [MHz]", 732, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496239998,"CurrentTimeLocal","Wed May 31 16:13:18 2017","Hostname","taurusi2001"
; "Time_ContextCreate [ms]", 238.069316
; "Time_ContextDestroy [ms]", 216.169737
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",0.246455,0.510925,0.000186,0.018815999851,0.045887999237,0.020864000544,0.029343999922,0.189965,1.139825,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",0.265748,0.523931,0.000177,0.017567999661,0.028799999505,0.021344000474,0.026944000274,0.191663,1.149367,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",0.253144,0.529925,0.000197,0.020384000614,0.02864000015,0.020223999396,0.028255999088,0.185538,1.136134,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",0.257234,0.490991,0.00018,0.018559999764,0.028384000063,0.020031999797,0.027839999646,0.18284,1.108811,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",0.241901,0.500481,0.00018,0.018464000896,0.028736000881,0.019807999954,0.028287999332,0.183692,1.105567,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",0.247926,0.499351,0.000187,0.018592000008,0.028672000393,0.02131200023,0.028255999088,0.18227,1.103132,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",0.248008,0.490669,0.000183,0.018432000652,0.028319999576,0.019967999309,0.027551999316,0.190624,1.100216,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",0.255713,0.631809,0.000183,0.017823999748,0.028991999105,0.019936000928,0.02787199989,0.180255,1.238915,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",0.245823,0.516891,0.000195,0.016767999157,0.028095999733,0.019807999954,0.027168000117,0.179193,1.114075,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",0.24102,0.499952,0.0002,0.018464000896,0.028607999906,0.021376000717,0.028031999245,0.182078,1.103185,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,67,"Success",0.256761,0.491056,0.00018,0.018624000251,0.028511999175,0.019967999309,0.027712000534,0.190399,1.109583,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,67,"Success",0.241533,0.499412,0.000193,0.01852799952,0.028704000637,0.019904000685,0.027936000377,0.181883,1.101325,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,68,"Warmup",0.25756,0.547069,0.000203,0.018432000652,0.071584001184,0.053408000618,0.03017600067,0.187108,1.238483,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,68,"Warmup",0.255681,0.540824,0.000193,0.01852799952,0.059840001166,0.051327999681,0.028736000881,0.18579,1.21539,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,68,"Success",0.252201,0.504888,0.00019,0.01948799938,0.059264000505,0.052639998496,0.029535999522,0.192414,1.187602,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,68,"Success",0.241141,0.515214,0.000202,0.02006400004,0.059647999704,0.051552001387,0.028799999505,0.183943,1.177255,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,68,"Success",0.258166,0.504266,0.000195,0.019904000685,0.05939200148,0.052928000689,0.029184000567,0.191154,1.191863,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,68,"Success",0.247328,0.515146,0.000197,0.019392000511,0.059232000262,0.051040001214,0.028672000393,0.181568,1.18613,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,6,68,"Success",0.255957,0.529871,0.000192,0.018368000165,0.059840001166,0.053056001663,0.028063999489,0.187509,1.204656,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,7,68,"Success",0.254248,0.534004,0.000197,0.018368000165,0.058880001307,0.051552001387,0.027904000133,0.17937,1.197481,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,8,68,"Success",0.248151,0.504073,0.00018,0.025663999841,0.059007998556,0.063327997923,0.029376000166,0.182288,1.189285,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,9,68,"Success",0.245726,0.514179,0.000186,0.019168000668,0.0590399988,0.051552001387,0.029152000323,0.181478,1.184352,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,10,68,"Success",0.247708,0.503686,0.000192,0.025663999841,0.059424001724,0.062559999526,0.029440000653,0.181546,1.187188,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,11,68,"Success",0.245648,0.513816,0.000198,0.019360000268,0.059679999948,0.051295999438,0.029184000567,0.181288,1.184165,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,69,"Warmup",0.245838,0.507848,0.000193,0.050303999335,0.082336001098,0.072640001774,0.059455998242,0.190213,1.28724,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,1,69,"Warmup",0.262582,0.539788,0.000187,0.046592000872,0.079424001276,0.071999996901,0.059232000262,0.197318,1.341244,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,2,69,"Success",0.251448,0.550879,0.0002,0.048863999546,0.079007998109,0.072383999825,0.058015998453,0.181878,1.312125,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,3,69,"Success",0.251265,0.543141,0.000194,0.047359999269,0.080320000648,0.070752002299,0.05785600096,0.183736,1.30458,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,4,69,"Success",0.254963,0.504304,0.000193,0.045951999724,0.080095998943,0.071872003376,0.067327998579,0.183934,1.286077,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,5,69,"Success",0.246698,0.515073,0.0002,0.05276799947,0.079424001276,0.072864003479,0.058304000646,0.182838,1.2779,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,6,69,"Success",0.241283,0.514272,0.000195,0.050464000553,0.07910399884,0.071007996798,0.057055998594,0.182641,1.273286,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,7,69,"Success",0.257186,0.506409,0.000188,0.046239998192,0.081408001482,0.071071997285,0.056063998491,0.190138,1.287023,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,8,69,"Success",0.251166,0.549849,0.000197,0.045056000352,0.07875200361,0.072095997632,0.057119999081,0.179378,1.309054,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,9,69,"Success",0.255158,0.516529,0.0002,0.052032001317,0.080191999674,0.071999996901,0.057888001204,0.182671,1.294135,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,10,69,"Success",0.240618,0.507221,0.000193,0.046528000385,0.094783999026,0.071648001671,0.05891200155,0.18382,1.288238,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,11,69,"Success",0.247596,0.507296,0.000193,0.045855998993,0.08086399734,0.071135997772,0.057408001274,0.191313,1.286374,54872,54872,54872
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,0,70,"Warmup",0.250975,0.746512,0.00026,0.58719998598,0.22092799842,0.21030400693,0.60451197624,0.347452,3.041605,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,1,70,"Warmup",0.252006,0.787035,0.000262,0.58928000927,0.22188800573,0.21788799763,0.60111999512,0.333263,3.073314,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,2,70,"Success",0.245211,0.737036,0.000274,0.59087997675,0.22012799978,0.21036800742,0.60227197409,0.331443,3.009425,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,3,70,"Success",0.250426,0.738837,0.000267,0.59107202291,0.21881599724,0.20764799416,0.60054397583,0.332063,3.01153,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,4,70,"Success",0.249558,0.767772,0.000288,0.58969599009,0.2215680033,0.21033599973,0.59878402948,0.330719,3.038402,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,5,70,"Success",0.250455,0.736129,0.000268,0.58934402466,0.22233599424,0.20867200196,0.59983998537,0.329607,3.009115,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,6,70,"Success",0.249675,0.734912,0.00029,0.59539198875,0.22022399306,0.20899200439,0.59980797768,0.329308,3.010568,1042568,1042568,1042568
"CuFFT","Inplace","Complex","float",1,"oddshape",130321,0,0,7,70,"Success",0.243171,0.824442,0.000267,0.5861120224,0.2225600034,0.21420800686,0.60198402405,0.333924,3.129976,1042568,1042568,1042568
