; "Tesla K80", "CC", 3.7, "PCI Bus ID", 4, "PCI Device ID", 0, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "ECC enabled", 1, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496231790,"CurrentTimeLocal","Wed May 31 13:56:30 2017","Hostname","taurusi2092"
; "Time_ContextCreate [ms]", 3886.04781
; "Time_ContextDestroy [ms]", 238.451786
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,67,"Warmup",0.304707,0.802966,0.000148,0.017440000549,0.026976000518,0.01398400031,0.024415999651,0.240887,1.497934,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,67,"Warmup",0.29894,0.79416,0.000152,0.016543999314,0.022816000506,0.01436800044,0.023808000609,0.236804,1.473041,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,67,"Success",0.292125,0.79621,0.000122,0.016224000603,0.022528000176,0.013567999937,0.024095999077,0.239306,1.469525,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,67,"Success",0.291787,0.794866,0.000136,0.015871999785,0.021824000403,0.013248000294,0.023647999391,0.233754,1.460252,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,67,"Success",0.298991,0.794623,0.000134,0.016287999228,0.022816000506,0.013728000224,0.024000000209,0.240431,1.476413,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,67,"Success",0.302321,0.811254,0.000148,0.016992000863,0.023231999949,0.015968000516,0.024512000382,0.241563,1.503082,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,67,"Success",0.299878,0.808345,0.00014,0.017087999731,0.024224000052,0.014623999596,0.024639999494,0.241118,1.496366,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,67,"Success",0.294179,0.795476,0.000138,0.016543999314,0.022239999846,0.01331199985,0.023552000523,0.24236,1.474423,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,67,"Success",0.293117,0.795186,0.000148,0.016192000359,0.022175999358,0.013567999937,0.023615999147,0.233264,1.462052,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,67,"Success",0.296425,0.806622,0.000144,0.015968000516,0.022336000577,0.021215999499,0.024927999824,0.242001,1.496657,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,67,"Success",0.298451,0.810383,0.000154,0.017343999818,0.022975999862,0.014431999996,0.024288000539,0.241869,1.496471,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,67,"Success",0.298271,0.808752,0.00013,0.017152000219,0.023455999792,0.014592000283,0.024480000138,0.240449,1.494036,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,68,"Warmup",0.309335,0.812729,0.00014,0.032767999917,0.057952001691,0.037824001163,0.026176000014,0.243551,1.587237,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,68,"Warmup",0.295729,0.823972,0.000158,0.016063999385,0.046239998192,0.036864001304,0.02508799918,0.250609,1.559555,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,68,"Success",0.291175,0.806454,0.00016,0.016192000359,0.046144001186,0.037471998483,0.024960000068,0.233869,1.52146,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,68,"Success",0.29608,0.804545,0.000156,0.015936000273,0.045791998506,0.037119999528,0.024576000869,0.232352,1.521494,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,68,"Success",0.291881,0.81077,0.000146,0.016575999558,0.046271998435,0.037184000015,0.02508799918,0.240355,1.535285,2888,2888,2888
