; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 393.235
; "Time_ContextDestroy [ms]", 154.323
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.393426,0.975064,1.35881,8.38765,4.0985,4.07546,6.96717,0.391101,26.7548,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.368218,0.951819,1.29442,7.4504,4.08893,4.0824,6.25821,0.380266,24.9767,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.36263,0.942296,1.28933,7.23283,4.09405,4.06362,6.27971,0.37971,24.7469,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.361708,0.96688,1.28906,7.27194,4.10003,4.06627,6.25398,0.375734,24.7903,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.365282,0.947542,1.28618,7.2599,4.09632,4.06499,6.25302,0.383493,24.7552,6.71089e+07,6.71089e+07,6.71089e+07,0
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.365705,0.949585,1.31933,7.23984,4.09376,4.07101,6.24848,0.37519,24.7639,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.365717,0.944266,1.28855,7.24243,4.09715,4.06758,6.24963,0.380978,24.7396,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.368709,0.952733,1.26836,7.4256,4.08832,4.08035,6.25232,0.380116,24.9203,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,"Success",0,0.365867,0.943741,1.29008,7.23939,4.10314,4.06845,6.25885,0.376285,24.7492,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,"Success",0,0.362215,0.94397,1.28894,7.2471,4.10205,4.0657,6.25418,0.379106,24.7458,6.71089e+07,6.71089e+07,6.71089e+07,1
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,"Success",0,0.366035,0.950295,1.2874,7.24106,4.09485,4.06602,6.44755,0.375395,24.9285,6.71089e+07,6.71089e+07,6.71089e+07,2
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,"Success",0,0.3643,0.943884,1.28744,7.24813,4.08976,4.07392,6.25725,0.399784,24.767,6.71089e+07,6.71089e+07,6.71089e+07,2
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,"Success",0,0.360027,0.941578,1.2827,7.2551,4.09581,4.07274,6.2545,0.378108,24.743,6.71089e+07,6.71089e+07,6.71089e+07,2
