; "Tesla K80", "CC", 3.7, "PCI Bus ID", 4, "PCI Device ID", 0, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "ECC enabled", 1, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496261468,"CurrentTimeLocal","Wed May 31 22:11:08 2017","Hostname","taurusi2061"
; "Time_ContextCreate [ms]", 328.800672
; "Time_ContextDestroy [ms]", 153.92498
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,0,0,"Warmup",0.370652,0.949575,1.304212,7.2383360863,4.2958722115,4.0712637901,6.4202880859,0.37889,25.095459,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,1,0,"Warmup",0.372867,0.947064,1.30797,7.2263040543,4.0968642235,4.0673279762,6.4223361015,0.384461,24.892669,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,2,0,"Success",0.372461,0.947263,1.311065,7.2500162125,4.09308815,4.0713281631,6.4249601364,0.383066,24.91833,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,3,0,"Success",0.371223,0.946448,1.278503,7.2109441757,4.0903358459,4.073952198,6.4255681038,0.380052,24.845817,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,4,0,"Success",0.367269,0.983883,1.282233,7.2334079742,4.1013441086,4.0630078316,6.4215679169,0.376332,24.95554,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,5,0,"Success",0.370046,0.947407,1.306552,7.2329921722,4.101984024,4.0664958954,6.4521279335,0.38121,24.927196,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,6,0,"Success",0.369465,0.947438,1.316763,7.2090239525,4.0892801285,4.0556797981,6.4334402084,0.389387,24.876284,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,7,0,"Success",0.370224,0.949322,1.29987,7.2432961464,4.1087040901,4.0650238991,6.4239039421,0.388502,24.915508,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,8,0,"Success",0.372148,0.946171,1.344676,7.4602560997,4.0886721611,4.0748801231,6.4351677895,0.381031,25.170693,67108872,67108864,67108864
"CuFFT","Inplace","Real","float",1,"powerof2",16777216,0,0,9,0,"Success",0.372609,1.420135,1.31098,7.270304203,4.1048641205,4.0739197731,6.4268479347,0.383405,25.429856,67108872,67108864,67108864
