; "Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 875, "CUDA Runtime", 8000, "cufft", 8000
; "Time_ContextCreate [ms]", 65.5871
; "Time_ContextDestroy [ms]", 154.793
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.228244,0.869734,1.05187,0.011776,0.034656,0.036448,0.02,0.33706,2.66277,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.227729,0.859834,1.04213,0.011648,0.034048,0.035872,0.020032,0.330656,2.63771,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.22449,0.956904,1.04281,0.011776,0.03456,0.035904,0.01968,0.331134,2.72943,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.224537,0.862902,1.04101,0.011776,0.033472,0.035552,0.01936,0.33429,2.63505,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.226111,0.85938,1.04026,0.011712,0.03424,0.036064,0.019456,0.330069,2.63292,4104,4096,4096,0
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0.224548,0.862626,1.04453,0.011872,0.034208,0.036224,0.01984,0.335295,2.64104,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0.22526,0.861889,1.04178,0.011712,0.03376,0.035136,0.019424,0.330981,2.63195,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0.22462,0.862076,1.0388,0.011712,0.034144,0.035488,0.01952,0.330218,2.62893,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0.224343,0.86178,1.04069,0.011584,0.034112,0.035264,0.01952,0.331055,2.63068,4104,4096,4096,1
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0.223815,0.861856,1.04024,0.011744,0.033664,0.037344,0.019552,0.336254,2.63583,4104,4096,4096,1
