; "Tesla K80", "CC", 3.7, "PCI Bus ID", 4, "PCI Device ID", 0, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "ECC enabled", 1, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496261488,"CurrentTimeLocal","Wed May 31 22:11:28 2017","Hostname","taurusi2061"
; "Time_ContextCreate [ms]", 55.767838
; "Time_ContextDestroy [ms]", 153.120053
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,0,"Warmup",0.2268,0.862904,1.042825,0.012288000435,0.034976001829,0.03753599897,0.020352000371,0.332285,2.625753,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,0,"Warmup",0.227312,0.870858,1.048451,0.01283199992,0.035424001515,0.036896001548,0.02025599964,0.329877,2.637343,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,0,"Success",0.226121,0.863169,1.040384,0.012319999747,0.034912001342,0.03647999838,0.020384000614,0.333948,2.623082,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,0,"Success",0.223201,0.8629,1.039433,0.012223999947,0.035199999809,0.036288000643,0.020128000528,0.328571,2.613626,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,0,"Success",0.228762,0.872232,1.052381,0.012223999947,0.035936001688,0.037696000189,0.020511999726,0.331957,2.647707,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,0,"Success",0.226431,0.871633,1.049416,0.012319999747,0.035456001759,0.037728000432,0.02054399997,0.33187,2.641141,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,0,"Success",0.226506,0.870475,1.049809,0.012351999991,0.035647999495,0.038272000849,0.020352000371,0.337453,2.646683,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,0,"Success",0.229604,0.867351,1.053439,0.012288000435,0.035456001759,0.03779200092,0.02054399997,0.332543,2.644683,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,0,"Success",0.226527,0.871132,1.04936,0.012608000077,0.035744000226,0.037439998239,0.020223999396,0.331784,2.640512,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,0,"Success",0.226252,0.870476,1.04661,0.012288000435,0.035872001201,0.037280000746,0.020191999152,0.33328,2.637538,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,10,0,"Success",0.225834,0.870917,1.048271,0.012191999704,0.035904001445,0.037599999458,0.020447999239,0.333118,2.640465,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,11,0,"Success",0.229648,0.86665,1.050064,0.01254399959,0.035904001445,0.037919998169,0.020096000284,0.331957,2.644406,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,1,"Warmup",0.229647,1.009079,1.055173,0.012799999677,0.036095999181,0.037856001407,0.0210239999,0.337627,2.794954,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,1,"Warmup",0.227539,0.871715,1.053623,0.012351999991,0.035647999495,0.037856001407,0.020384000614,0.332752,2.64832,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,1,"Success",0.229017,0.873406,1.412033,0.012640000321,0.03577600047,0.036159999669,0.019328000024,0.335975,3.008851,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,1,"Success",0.231726,0.890654,1.054033,0.011424000375,0.036543998867,0.037696000189,0.020447999239,0.33299,2.673587,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,1,"Success",0.226502,0.87299,1.050726,0.012223999947,0.035583999008,0.037087999284,0.020864000544,0.332162,2.644172,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,1,"Success",0.227048,0.872495,1.059331,0.012480000034,0.036191999912,0.037376001477,0.020384000614,0.331715,2.652866,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,1,"Success",0.226724,0.870364,1.047734,0.012384000234,0.035647999495,0.037119999528,0.020320000127,0.337014,2.643356,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,1,"Success",0.226918,0.867422,1.053153,0.012319999747,0.036063998938,0.038143999875,0.020511999726,0.331676,2.642161,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,1,"Success",0.228435,0.872282,1.049965,0.01244799979,0.035840000957,0.037856001407,0.020703999326,0.332435,2.645568,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,1,"Success",0.225437,0.864716,1.041419,0.01254399959,0.035424001515,0.037567999214,0.020416000858,0.333515,2.627919,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,10,1,"Success",0.226631,0.870796,1.050201,0.012351999991,0.035583999008,0.038143999875,0.020703999326,0.336227,2.646386,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,11,1,"Success",0.23117,0.870718,1.04936,0.012351999991,0.036543998867,0.038079999387,0.020640000701,0.330204,2.644952,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,2,"Warmup",0.228745,0.865539,1.046113,0.012608000077,0.035583999008,0.037696000189,0.020352000371,0.329988,2.632638,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,2,"Warmup",0.224214,0.864046,1.04397,0.012256000191,0.035487998277,0.037151999772,0.019967999309,0.333424,2.625902,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,2,"Success",0.224077,0.863115,1.041186,0.012384000234,0.035424001515,0.036416001618,0.020384000614,0.329191,2.61753,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,2,"Success",0.224384,0.864002,1.039867,0.01244799979,0.03471999988,0.036928001791,0.02006400004,0.327402,2.615034,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,2,"Success",0.223833,0.86303,1.039061,0.01283199992,0.034976001829,0.036896001548,0.02025599964,0.327452,2.614167,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,2,"Success",0.223389,0.862014,1.038563,0.012319999747,0.034623999149,0.036991998553,0.020128000528,0.331905,2.615042,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,2,"Success",0.22311,0.862768,1.039209,0.012256000191,0.035328000784,0.035936001688,0.023871999234,0.32818,2.61604,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,2,"Success",0.227902,0.862438,1.039275,0.012384000234,0.035328000784,0.036864001304,0.019999999553,0.328204,2.617614,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,2,"Success",0.223316,0.862123,1.042084,0.012415999547,0.034816000611,0.037248000503,0.020511999726,0.332132,2.620444,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,2,"Success",0.228177,0.870891,1.045803,0.01244799979,0.035232000053,0.038943998516,0.020160000771,0.330909,2.638374,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,10,2,"Success",0.224199,0.863286,1.132339,0.012415999547,0.034976001829,0.036991998553,0.020320000127,0.328897,2.708903,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,11,2,"Success",0.224366,0.863838,1.039866,0.012512000278,0.035232000053,0.036671999842,0.02025599964,0.327901,2.616168,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,3,"Warmup",0.228084,0.864284,1.049217,0.012319999747,0.036095999181,0.038047999144,0.02054399997,0.33757,2.642622,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,3,"Warmup",0.227504,0.871359,1.053249,0.012415999547,0.035904001445,0.037824001163,0.021120000631,0.333167,2.651918,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,3,"Success",0.230758,0.90367,1.079895,0.012032000348,0.037280000746,0.03753599897,0.020384000614,0.333107,2.710696,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,3,"Success",0.226757,0.871096,1.04561,0.012575999834,0.035583999008,0.037376001477,0.020223999396,0.33378,2.63865,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,3,"Success",0.224249,0.926116,1.042483,0.01244799979,0.034816000611,0.036384001374,0.020703999326,0.328751,2.681672,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,3,"Success",0.229618,0.872872,1.049527,0.012512000278,0.036031998694,0.037919998169,0.02054399997,0.331556,2.646455,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,3,"Success",0.226329,0.870778,1.047204,0.012480000034,0.03577600047,0.037631999701,0.020352000371,0.329929,2.636217,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,3,"Success",0.225715,0.863434,1.05161,0.012288000435,0.035232000053,0.036928001791,0.020640000701,0.333565,2.634492,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,3,"Success",0.223978,0.863626,1.039567,0.012384000234,0.035071998835,0.036671999842,0.02054399997,0.328739,2.615683,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,3,"Success",0.225528,0.863278,1.039377,0.012288000435,0.035744000226,0.036896001548,0.02025599964,0.327937,2.616702,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,10,3,"Success",0.223646,0.862373,1.040318,0.01244799979,0.034752000123,0.036063998938,0.020223999396,0.327911,2.612767,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,11,3,"Success",0.224166,0.863963,1.039058,0.012319999747,0.034880001098,0.036511998624,0.02025599964,0.332111,2.618559,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,4,"Warmup",0.229956,0.862762,1.052226,0.012608000077,0.035583999008,0.038143999875,0.020864000544,0.333633,2.641722,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,4,"Warmup",0.22765,0.8718,1.052825,0.012608000077,0.035936001688,0.037951998413,0.020320000127,0.332841,2.648192,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,4,"Success",0.226823,0.872478,1.052414,0.012575999834,0.036159999669,0.038559999317,0.020896000788,0.332134,2.647747,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,4,"Success",0.226253,0.871555,1.049998,0.012575999834,0.035840000957,0.03753599897,0.020447999239,0.336773,2.646922,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,4,"Success",0.229551,0.869235,1.049595,0.014399999753,0.035936001688,0.037951998413,0.020352000371,0.332742,2.645844,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,4,"Success",0.22793,0.86985,1.050156,0.012288000435,0.035583999008,0.038304001093,0.020735999569,0.332362,2.643193,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,4,"Success",0.227379,0.871267,1.050498,0.012608000077,0.036095999181,0.036991998553,0.020191999152,0.337195,2.647814,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,4,"Success",0.22723,0.871295,1.050723,0.012640000321,0.035519998521,0.037983998656,0.024000000209,0.332041,2.647268,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,4,"Success",0.230242,0.870681,1.049514,0.012288000435,0.034944001585,0.037151999772,0.020384000614,0.331742,2.643197,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,4,"Success",0.22635,0.87085,1.049714,0.012575999834,0.036416001618,0.037728000432,0.020511999726,0.332294,2.642637,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,10,4,"Success",0.22651,0.871442,1.048948,0.012575999834,0.035744000226,0.038975998759,0.02025599964,0.337394,2.647495,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,11,4,"Success",0.229289,0.866651,1.051954,0.01254399959,0.036224000156,0.038047999144,0.020320000127,0.332039,2.643069,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,5,"Warmup",0.229457,0.87263,1.054998,0.012608000077,0.036352001131,0.038079999387,0.020608000457,0.332569,2.653763,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,5,"Warmup",0.22674,1.050291,1.075707,0.011872000061,0.036928001791,0.037567999214,0.019807999954,0.33238,2.843666,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,5,"Success",0.235234,0.893633,1.041959,0.012768000364,0.035264000297,0.03731200099,0.020287999883,0.329123,2.661081,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,5,"Success",0.225589,0.862521,1.040471,0.012256000191,0.034432001412,0.036511998624,0.020191999152,0.328023,2.615226,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,5,"Success",0.223713,0.862312,1.041095,0.012736000121,0.034752000123,0.036639999598,0.020191999152,0.332692,2.619376,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,5,"Success",0.227199,0.871624,1.050152,0.012384000234,0.035872001201,0.041696000844,0.020320000127,0.333172,2.648124,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,5,"Success",0.226997,0.874108,1.053414,0.012384000234,0.035840000957,0.037408001721,0.020384000614,0.332874,2.649352,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,5,"Success",0.228932,0.872393,1.052135,0.012384000234,0.036288000643,0.038111999631,0.020320000127,0.332485,2.649056,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,8,5,"Success",0.226933,0.872705,1.058941,0.012384000234,0.035647999495,0.037408001721,0.020640000701,0.33687,2.657626,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,9,5,"Success",0.229889,0.86969,1.05686,0.014911999926,0.03529600054,0.037216000259,0.020160000771,0.340986,2.660714,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,10,5,"Success",0.225431,0.867212,1.051716,0.012671999633,0.0362560004,0.037567999214,0.02054399997,0.332921,2.640541,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,11,5,"Success",0.226299,0.872283,1.051801,0.01254399959,0.03599999845,0.037663999945,0.020416000858,0.335224,2.648549,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,0,6,"Warmup",0.232926,0.871383,1.06021,0.012671999633,0.036448001862,0.038304001093,0.02054399997,0.333146,2.662773,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,1,6,"Warmup",0.227047,0.871798,1.055599,0.012415999547,0.035967998207,0.037408001721,0.020671999082,0.332375,2.650087,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,2,6,"Success",0.226512,0.872376,1.052961,0.012608000077,0.035967998207,0.037503998727,0.020447999239,0.337569,2.652377,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,3,6,"Success",0.226743,0.872013,1.050437,0.012351999991,0.036224000156,0.038208000362,0.020608000457,0.336343,2.649171,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,4,6,"Success",0.2309,0.871236,1.051501,0.012351999991,0.036159999669,0.037471998483,0.020384000614,0.33251,2.648709,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,5,6,"Success",0.226683,0.872178,1.051023,0.012415999547,0.036127999425,0.037728000432,0.020320000127,0.331756,2.645289,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,6,6,"Success",0.226777,0.872996,1.047565,0.012351999991,0.036159999669,0.037184000015,0.020352000371,0.550967,2.860097,4104,4096,4096
"CuFFT","Inplace","Real","float",1,"powerof2",1024,0,0,7,6,"Success",0.227588,0.864637,1.042428,0.012288000435,0.036031998694,0.037248000503,0.020191999152,0.329461,2.626967,4104,4096,4096
