"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1496261489,"CurrentTimeLocal","Wed May 31 22:11:29 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,0,"Success",0.399365,1.02511,1.31884,7.17232,4.10368,4.06762,6.43891,0.379935,24.9751,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,0,"Success",0.398755,1.02037,1.31046,7.17133,4.0905,4.07491,6.43773,0.380505,24.9502,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,0,"Success",0.394411,1.02589,1.31432,7.15613,4.09984,4.07098,6.44224,0.38019,24.9495,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,0,"Success",0.401299,1.02386,1.3062,7.16851,4.09971,4.06003,6.43946,0.373092,24.9389,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,0,"Success",0.399114,1.01804,1.31041,7.15549,4.0889,4.08064,6.43821,0.377307,24.9354,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,0,"Success",0.3968,1.02449,1.31578,7.16707,4.09475,4.06797,6.43686,0.37908,24.951,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,0,"Success",0.399463,1.04707,1.31127,7.3696,4.08989,4.07283,6.43914,0.379378,25.1763,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,0,"Success",0.399027,1.02643,1.31401,7.1785,4.10106,4.06957,6.43917,0.377899,24.972,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,0,"Success",0.40278,1.02431,1.30825,7.16726,4.10282,4.07152,6.4433,0.371702,24.9578,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,9,0,"Success",0.39404,1.02578,1.31031,7.1543,4.10141,4.06298,6.43789,0.3767,24.9298,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,0,1,"Success",0.403641,1.02824,1.31956,7.15056,4.09888,4.07085,6.4345,0.375844,24.9488,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,1,1,"Success",0.401345,1.06125,1.32044,7.15795,4.1016,4.08438,6.43277,0.3828,25.0084,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,2,1,"Success",0.400643,1.01942,1.31462,7.14528,4.1063,4.07254,6.43734,0.469492,25.0333,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,3,1,"Success",0.398924,1.02299,1.36756,7.2951,4.10042,4.06614,6.43869,0.373674,25.1296,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,4,1,"Success",0.388836,1.026,1.32074,7.17946,4.10189,4.0649,6.43174,0.376187,24.9571,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,5,1,"Success",0.394966,1.01888,1.3142,7.17072,4.10483,4.06746,6.43242,0.376316,24.9459,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,6,1,"Success",0.39631,1.02295,1.32015,7.16541,4.09584,4.06506,6.43338,0.376853,24.9431,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,7,1,"Success",0.400897,1.02549,1.3164,7.15056,4.10074,4.07021,6.43814,0.372763,24.9416,67108872,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",16777216,0,0,8,1,"Success",0.396176,1.02238,1.31834,7.16781,4.10483,4.06147,6.43315,0.376029,24.9486,67108872,0,0
