"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", NA, "MemoryFree [MiB]", NA, "MemClock [MHz]", NA, "GPUClock [MHz]", NA, "CUDA Runtime", NA, "cufft", NA
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","success","0","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","ID"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.56021,0,0,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.60162,0,0,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.59965,0,0,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0,0,0,0,0,0,0,0,2.63401,0,0,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0,0,0,0,0,0,0,0,2.6641,0,0,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.5639,0,0,0,1
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.59419,0,0,0,1
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.55898,0,0,0,1
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0,0,0,0,0,0,0,0,2.55909,0,0,0,1
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0,0,0,0,0,0,0,0,2.56147,0,0,0,1
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.57403,0,0,0,2
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.59819,0,0,0,2
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.56548,0,0,0,2
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0,0,0,0,0,0,0,0,2.58404,0,0,0,2
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0,0,0,0,0,0,0,0,2.60708,0,0,0,2
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.67582,0,0,0,3
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.6076,0,0,0,3
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.58016,0,0,0,3
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0,0,0,0,0,0,0,0,2.55408,0,0,0,3
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0,0,0,0,0,0,0,0,2.60739,0,0,0,3
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.65545,0,0,0,4
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.58609,0,0,0,4
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.5519,0,0,0,4
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0,0,0,0,0,0,0,0,2.55343,0,0,0,4
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0,0,0,0,0,0,0,0,2.54722,0,0,0,4
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.5815,0,0,0,5
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.59881,0,0,0,5
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.57918,0,0,0,5
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0,0,0,0,0,0,0,0,2.6247,0,0,0,5
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0,0,0,0,0,0,0,0,2.61971,0,0,0,5
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.58164,0,0,0,6
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.67272,0,0,0,6
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.56079,0,0,0,6
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0,0,0,0,0,0,0,0,2.54872,0,0,0,6
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0,0,0,0,0,0,0,0,2.55033,0,0,0,6
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.78948,0,0,0,7
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.59135,0,0,0,7
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.55301,0,0,0,7
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,"Success",0,0,0,0,0,0,0,0,0,2.5536,0,0,0,7
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,"Success",0,0,0,0,0,0,0,0,0,2.54525,0,0,0,7
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,"Success",0,0,0,0,0,0,0,0,0,2.56103,0,0,0,8
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,"Success",0,0,0,0,0,0,0,0,0,2.58257,0,0,0,8
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,"Success",0,0,0,0,0,0,0,0,0,2.55381,0,0,0,8
