"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1496262120,"CurrentTimeLocal","Wed May 31 22:22:00 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,0,"Success",0.221233,0.868718,1.04306,0.012576,0.03552,0.039136,0.021216,0.331696,2.6297,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,0,"Success",0.226608,0.86466,1.0413,0.012576,0.035552,0.037856,0.020352,0.330878,2.62637,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,0,"Success",0.222229,0.86498,1.04128,0.012192,0.035168,0.037888,0.020736,0.329823,2.62107,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,0,"Success",0.221533,0.864895,1.04018,0.012352,0.035328,0.03792,0.02032,0.331561,2.62071,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,0,"Success",0.221009,0.865138,1.03938,0.01232,0.034944,0.03776,0.02048,0.32947,2.61721,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,5,0,"Success",0.22157,0.864371,1.04092,0.012256,0.035584,0.037824,0.020448,0.328413,2.6181,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,6,0,"Success",0.221536,0.864421,1.04068,0.012032,0.0352,0.037664,0.020224,0.328674,2.61699,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,7,0,"Success",0.221013,0.863814,1.04179,0.012128,0.035584,0.03744,0.02048,0.333522,2.62201,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,8,0,"Success",0.2226,0.86166,1.04449,0.012576,0.035904,0.038272,0.020416,0.329354,2.62189,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,9,0,"Success",0.221108,0.864696,1.04041,0.012224,0.034688,0.03776,0.020672,0.329163,2.61707,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,1,"Success",0.218864,0.865098,1.03861,0.012512,0.034912,0.037344,0.019968,0.327941,2.61142,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,1,"Success",0.221237,0.864261,1.04401,0.01216,0.034784,0.038496,0.020256,0.333576,2.62584,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,2,1,"Success",0.221792,0.86608,1.04111,0.01216,0.035648,0.038016,0.020032,0.334134,2.62534,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,3,1,"Success",0.224661,0.861258,1.04035,0.012224,0.035296,0.037728,0.020032,0.329071,2.6207,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,4,1,"Success",0.220911,0.869358,1.05179,0.012416,0.035968,0.038336,0.020512,0.352606,2.65969,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,5,1,"Success",0.224378,0.87193,1.05636,0.012608,0.036224,0.038272,0.020448,0.339851,2.65746,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,6,1,"Success",0.223664,0.879975,1.05463,0.012448,0.035712,0.042048,0.02064,0.338327,2.66456,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,7,1,"Success",0.227088,0.88588,1.04992,0.012288,0.035808,0.038432,0.02048,0.332511,2.65985,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,8,1,"Success",0.222595,0.865799,1.04191,0.012256,0.035232,0.037856,0.020512,0.333927,2.62652,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,9,1,"Success",0.221286,0.870609,1.04899,0.01232,0.035296,0.03792,0.020224,0.332331,2.6353,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,0,2,"Success",0.218948,0.868642,1.0411,0.012288,0.035168,0.037536,0.0208,0.329322,2.62011,4104,0,0
"cuFFT Standalone","Inplace","Real","float",1,"powerof2",1024,0,0,1,2,"Success",0.22323,0.902833,1.08121,0.012416,0.037184,0.0384,0.019872,0.33131,2.7004,4104,0,0
