"Tesla K80", "CC", 3.7, "Multiprocessors", 13, "Memory [MiB]", 11439, "MemoryFree [MiB]", 11376, "MemClock [MHz]", 2505, "GPUClock [MHz]", 823, "CUDA Runtime", 8000, "cufft", 8000,"NumberRuns",10,"NumberWarmups",1,"ErrorBound",1e-05,"CurrentTime",1496262130,"CurrentTimeLocal","Wed May 31 22:22:10 2017"
; "Time_ContextCreate [ms]", NA
; "Time_ContextDestroy [ms]", NA
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,0,"Success",0,0,0,0,0,0,0,0,24.8485,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,0,"Success",0,0,0,0,0,0,0,0,24.8194,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,0,"Success",0,0,0,0,0,0,0,0,24.8369,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,0,"Success",0,0,0,0,0,0,0,0,24.823,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,0,"Success",0,0,0,0,0,0,0,0,24.9437,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,0,"Success",0,0,0,0,0,0,0,0,25.0189,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,0,"Success",0,0,0,0,0,0,0,0,24.826,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,0,"Success",0,0,0,0,0,0,0,0,24.8053,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,0,"Success",0,0,0,0,0,0,0,0,24.82,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,0,"Success",0,0,0,0,0,0,0,0,24.8387,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,1,"Success",0,0,0,0,0,0,0,0,25.0541,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,1,"Success",0,0,0,0,0,0,0,0,24.8228,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,1,"Success",0,0,0,0,0,0,0,0,24.8262,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,1,"Success",0,0,0,0,0,0,0,0,24.8458,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,1,"Success",0,0,0,0,0,0,0,0,24.8467,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,1,"Success",0,0,0,0,0,0,0,0,24.8323,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,1,"Success",0,0,0,0,0,0,0,0,24.8595,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,1,"Success",0,0,0,0,0,0,0,0,24.8225,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,1,"Success",0,0,0,0,0,0,0,0,24.8068,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,1,"Success",0,0,0,0,0,0,0,0,24.8302,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,2,"Success",0,0,0,0,0,0,0,0,24.805,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,2,"Success",0,0,0,0,0,0,0,0,24.9499,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,2,"Success",0,0,0,0,0,0,0,0,24.9043,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,2,"Success",0,0,0,0,0,0,0,0,24.8726,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,2,"Success",0,0,0,0,0,0,0,0,24.8126,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,2,"Success",0,0,0,0,0,0,0,0,25.0087,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,2,"Success",0,0,0,0,0,0,0,0,24.8371,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,2,"Success",0,0,0,0,0,0,0,0,24.8117,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,2,"Success",0,0,0,0,0,0,0,0,24.8157,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,2,"Success",0,0,0,0,0,0,0,0,24.7979,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,3,"Success",0,0,0,0,0,0,0,0,24.8292,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,3,"Success",0,0,0,0,0,0,0,0,24.7933,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,3,"Success",0,0,0,0,0,0,0,0,24.8129,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,3,"Success",0,0,0,0,0,0,0,0,24.88,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,3,"Success",0,0,0,0,0,0,0,0,24.8187,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,3,"Success",0,0,0,0,0,0,0,0,24.8229,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,3,"Success",0,0,0,0,0,0,0,0,24.8131,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,3,"Success",0,0,0,0,0,0,0,0,24.8262,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,3,"Success",0,0,0,0,0,0,0,0,24.9141,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,3,"Success",0,0,0,0,0,0,0,0,25.2326,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,4,"Success",0,0,0,0,0,0,0,0,24.843,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,4,"Success",0,0,0,0,0,0,0,0,24.7785,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,4,"Success",0,0,0,0,0,0,0,0,24.8456,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,4,"Success",0,0,0,0,0,0,0,0,24.8071,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,4,"Success",0,0,0,0,0,0,0,0,24.8104,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,4,"Success",0,0,0,0,0,0,0,0,24.7777,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,4,"Success",0,0,0,0,0,0,0,0,24.8143,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,4,"Success",0,0,0,0,0,0,0,0,24.8429,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,4,"Success",0,0,0,0,0,0,0,0,24.8346,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,4,"Success",0,0,0,0,0,0,0,0,24.8092,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,5,"Success",0,0,0,0,0,0,0,0,24.8158,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,5,"Success",0,0,0,0,0,0,0,0,24.8181,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,5,"Success",0,0,0,0,0,0,0,0,24.8738,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,5,"Success",0,0,0,0,0,0,0,0,24.8283,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,5,"Success",0,0,0,0,0,0,0,0,24.8314,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,5,"Success",0,0,0,0,0,0,0,0,24.821,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,5,"Success",0,0,0,0,0,0,0,0,24.9915,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,5,"Success",0,0,0,0,0,0,0,0,24.9815,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,5,"Success",0,0,0,0,0,0,0,0,24.8654,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,5,"Success",0,0,0,0,0,0,0,0,25.0578,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,6,"Success",0,0,0,0,0,0,0,0,25.0731,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,6,"Success",0,0,0,0,0,0,0,0,24.8106,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,6,"Success",0,0,0,0,0,0,0,0,24.8054,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,6,"Success",0,0,0,0,0,0,0,0,24.8295,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,6,"Success",0,0,0,0,0,0,0,0,24.8195,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,6,"Success",0,0,0,0,0,0,0,0,24.808,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,6,"Success",0,0,0,0,0,0,0,0,24.7945,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,6,"Success",0,0,0,0,0,0,0,0,24.8182,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,6,"Success",0,0,0,0,0,0,0,0,25.0452,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,6,"Success",0,0,0,0,0,0,0,0,24.7878,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,7,"Success",0,0,0,0,0,0,0,0,24.8142,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,7,"Success",0,0,0,0,0,0,0,0,24.8927,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,7,"Success",0,0,0,0,0,0,0,0,24.791,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,7,"Success",0,0,0,0,0,0,0,0,24.9545,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,7,"Success",0,0,0,0,0,0,0,0,24.8541,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,7,"Success",0,0,0,0,0,0,0,0,24.8946,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,6,7,"Success",0,0,0,0,0,0,0,0,24.68,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,7,7,"Success",0,0,0,0,0,0,0,0,25.0652,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,8,7,"Success",0,0,0,0,0,0,0,0,24.6857,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,9,7,"Success",0,0,0,0,0,0,0,0,24.8219,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,0,8,"Success",0,0,0,0,0,0,0,0,24.8082,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,1,8,"Success",0,0,0,0,0,0,0,0,24.7946,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,2,8,"Success",0,0,0,0,0,0,0,0,24.8191,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,3,8,"Success",0,0,0,0,0,0,0,0,24.798,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,4,8,"Success",0,0,0,0,0,0,0,0,24.8007,67108872,0,0
"cuFFT Standalone-TTS","Inplace","Real","float",1,"powerof2",16777216,0,0,5,8,"Success",0,0,0,0,0,0,0,0,24.8226,67108872,0,0
