; "Tesla P100-PCIE-16GB", "CC", 6.0, "PCI Bus ID", 131, "PCI Device ID", 0, "Multiprocessors", 56, "Memory [MiB]", 16276, "MemoryFree [MiB]", 15989, "ECC enabled", 1, "MemClock [MHz]", 715, "GPUClock [MHz]", 1328, "CUDA Runtime", 8000, "cufft", 8000,"NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1496233626,"CurrentTimeLocal","Wed May 31 14:27:06 2017","Hostname","taurust1.vm.taurus.hrsk.tu-dresden.de"
; "Time_ContextCreate [ms]", 116.555908
; "Time_ContextDestroy [ms]", 212.342472
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]"
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,0,68,"Warmup",0.676556,0.301377,0.000164,0.010784000158,0.020703999326,0.007840000093,0.014816000126,0.113304,1.184996,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,1,68,"Warmup",0.711855,0.299884,0.000145,0.011168000288,0.013248000294,0.0075520002283,0.014240000397,0.109225,1.206177,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,2,68,"Success",0.6619,0.299195,0.000144,0.010816000402,0.01331199985,0.0075520002283,0.014303999953,0.112567,1.158763,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,3,68,"Success",0.660142,0.303576,0.000144,0.010751999915,0.013088000007,0.0078079998493,0.014592000283,0.108025,1.15642,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,4,68,"Success",0.658157,0.302762,0.000146,0.010816000402,0.013663999736,0.0072960001417,0.01408000011,0.109344,1.155374,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,5,68,"Success",0.663542,0.298246,0.000145,0.010335999541,0.013120000251,0.007424000185,0.014015999623,0.108095,1.153335,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,6,68,"Success",0.66014,0.29888,0.000135,0.010784000158,0.013120000251,0.0073279999197,0.014112000354,0.108355,1.15149,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,7,68,"Success",0.664488,0.298784,0.000136,0.010656000115,0.013055999763,0.0078079998493,0.013919999823,0.115156,1.162545,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,8,68,"Success",0.661569,0.33571,0.000145,0.011071999557,0.014143999666,0.00723200012,0.015807999298,0.115569,1.204124,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,9,68,"Success",0.667734,0.299202,0.000145,0.010751999915,0.013151999563,0.0075199999847,0.014112000354,0.108802,1.159858,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,10,68,"Success",0.662565,0.298928,0.000158,0.010623999871,0.013120000251,0.00800000038,0.014271999709,0.107983,1.154081,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",19,0,0,11,68,"Success",0.663863,0.299326,0.000137,0.012256000191,0.013376000337,0.008224000223,0.014623999596,0.112375,1.162714,152,152,152
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,0,69,"Warmup",0.667277,0.316731,0.000178,0.010879999958,0.034687999636,0.022655999288,0.015615999699,0.112581,1.219215,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,1,69,"Warmup",0.666918,0.305226,0.000145,0.010879999958,0.028480000794,0.022207999602,0.01456000004,0.109579,1.19629,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,2,69,"Success",0.66855,0.304991,0.000137,0.010944000445,0.029247999191,0.02236800082,0.014655999839,0.108896,1.198293,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,3,69,"Success",0.66064,0.312723,0.000164,0.010656000115,0.02816000022,0.022431999445,0.014816000126,0.108914,1.197064,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,4,69,"Success",0.660881,0.309174,0.000144,0.011359999888,0.028863999993,0.022495999932,0.014592000283,0.108466,1.194813,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,5,69,"Success",0.663976,0.304537,0.00014,0.010656000115,0.027968000621,0.02236800082,0.014303999953,0.108439,1.190924,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,6,69,"Success",0.663524,0.304132,0.000145,0.010784000158,0.028672000393,0.022304000333,0.014399999753,0.107928,1.190147,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,7,69,"Success",0.657306,0.312638,0.000136,0.011103999801,0.02864000015,0.02284800075,0.014240000397,0.108929,1.194488,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,8,69,"Success",0.664326,0.343221,0.000146,0.011455999687,0.028767999262,0.022592000663,0.015904000029,0.111336,1.239842,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,9,69,"Success",0.663535,0.30454,0.000145,0.010623999871,0.027839999646,0.022336000577,0.014816000126,0.107916,1.189844,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,10,69,"Success",0.663041,0.304862,0.000152,0.011040000245,0.028704000637,0.022399999201,0.014623999596,0.115651,1.198799,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",361,0,0,11,69,"Success",0.657995,0.30946,0.000144,0.010879999958,0.028095999733,0.022624000907,0.01456000004,0.107847,1.190406,2888,2888,2888
"CuFFT","Inplace","Complex","float",1,"oddshape",6859,0,0,0,70,"Warmup",0.671595,0.308064,0.000143,0.019231999293,0.038143999875,0.030975999311,0.026815999299,0.112556,1.246247,54872,54872,54872
